Timestamp                       Thread     Type        Activity             PID    TTL  
2026-09-18 04:09:43.979908+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint5:0x100000612): Create AFKMailboxEndpointInterface (id:3)
2026-09-18 04:09:43.980046+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint5:0x100000612): Create AFKMailboxEndpointInterface (id:5)
2026-09-18 04:09:43.980121+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEXTEndpoint5:0x100000612): Create AFKMailboxEndpointInterface (id:7)
2026-09-18 04:09:43.980209+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint9:0x10000067f): Create AFKMailboxEndpointInterface (id:1)
2026-09-18 04:09:43.980294+0300 0x790      Default     0x0                  0      0    kernel: (AppleFirmwareKit) DCPEndpoint(AFKDCPEndpoint9:0x10000067f): Create AFKMailboxEndpointInterface (id:3)
2026-09-18 04:09:43.980397+0300 0x790      Default     0x0                  0      0    kernel: (RTBuddy) [DCP:dpointInterface.cpp:663] [AFK][AFKMailboxSharedMemoryEndpointInterface:#67] if:1 inCmd:7 inResp:7 outRepErr:0 outCmdErr:0 t:140699754
2026-09-18 04:09:43.981885+0300 0x790      Default     0x0                  0      0    kernel: (AppleDCPDPTXProxy) IOAV[155] AppleDCPDPTXRemotePortProxy<0x100000733>::powerChangeDone_block_invoke: powerstate 0 -> 0
2026-09-18 04:09:43.981894+0300 0x790      Default     0x0                  0      0    kernel: (AppleDCPDPTXProxy) IOAV[158] AppleDCPDPTXRemotePortProxy<0x100000733>::powerChangeDone_block_invoke: powerstate 0 -> 0
2026-09-18 04:09:43.982635+0300 0x790      Default     0x0                  0      0    kernel: (IODisplayPortFamily) IOAV[161] AppleDCPDPTXRemotePortUFP(iop-dcpext-nub)<0x100000735>::getAddressPropertyWithProvider: dp-switch-ufp-domain: not specified; defaulting to 0.
2026-09-18 04:09:43.982660+0300 0x790      Default     0x0                  0      0    kernel: (AppleDCPDPTXProxy) IOAV[164] AppleDCPDPTXRemotePortUFP(iop-dcpext-nub)<0x100000735>::handleStart: _socVmaxIndex = 2, socVmaxIndexCount = 2, port = 1
